text,category
Flight AI864 to Bangalore is ready for departure,Departure
Passengers arriving on flight AI202 from Chennai may collect baggage,Arrival
Flight AI557 to Chennai is delayed by 90 minutes,Delay
Gate changed from 8 to 13 for flight AI636,Gate Change
Flight AI934 to Dubai is delayed by 14 minutes,Delay
Boarding announcement for flight AI655,Boarding
Final boarding call for flight AI329,Boarding
Passengers for flight AI439 to Delhi proceed to gate 9,Departure
Flight AI195 to Chennai is ready for departure,Departure
Final boarding call for flight AI229,Boarding
Boarding started for flight AI264 at gate 13,Boarding
Passengers of flight AI124 please note the delay,Delay
Flight AI244 bound for Dubai will depart shortly,Departure
Passengers of flight AI628 please note the delay,Delay
Flight AI221 bound for Kolkata will depart shortly,Departure
Emergency evacuation required immediately,Emergency
Emergency evacuation required immediately,Emergency
Arrival completed for flight AI582 from Kolkata,Arrival
Flight AI331 to Chennai is ready for departure,Departure
Flight AI407 has successfully landed from Chennai,Arrival
Final boarding call for flight AI593,Boarding
Security alert reported near terminal,Emergency
Flight AI955 has successfully landed from Hyderabad,Arrival
Gate update for flight AI494,Gate Change
Airport emergency protocol has been activated,Emergency
Airport emergency protocol has been activated,Emergency
Flight AI869 to Chennai is ready for departure,Departure
Emergency evacuation required immediately,Emergency
Flight AI889 scheduled for Dubai is delayed,Delay
Flight AI509 departure gate has been changed,Gate Change
Security alert reported near terminal,Emergency
Final boarding call for flight AI784,Boarding
Flight AI554 scheduled for Pune is delayed,Delay
Airport emergency protocol has been activated,Emergency
Arrival completed for flight AI961 from Dubai,Arrival
Passengers are requested to follow emergency procedures,Emergency
Boarding started for flight AI783 at gate 7,Boarding
Flight AI548 from Dubai has arrived,Arrival
Flight AI589 to Dubai is ready for departure,Departure
Boarding started for flight AI158 at gate 2,Boarding
Airport emergency protocol has been activated,Emergency
Gate update for flight AI663,Gate Change
Emergency evacuation required immediately,Emergency
Emergency evacuation required immediately,Emergency
Departure announcement for flight AI858 to Pune,Departure
Passengers for flight AI593 to Pune proceed to gate 15,Departure
Final boarding call for flight AI515,Boarding
Passengers of flight AI825 please note the delay,Delay
Passengers may now board flight AI946,Boarding
Flight AI463 scheduled for Dubai is delayed,Delay
Passengers for flight AI171 to Chennai proceed to gate 10,Departure
Flight AI615 from Chennai has arrived,Arrival
Departure announcement for flight AI689 to Delhi,Departure
Passengers are requested to follow emergency procedures,Emergency
Departure announcement for flight AI216 to Kolkata,Departure
Flight AI745 to Chennai is delayed by 57 minutes,Delay
Due to weather conditions flight AI100 has been delayed,Delay
Gate changed from 1 to 11 for flight AI181,Gate Change
Passengers are requested to follow emergency procedures,Emergency
Passengers may now board flight AI475,Boarding
Passengers may now board flight AI378,Boarding
Arrival completed for flight AI664 from Bangalore,Arrival
Flight AI524 departure gate has been changed,Gate Change
Gate update for flight AI881,Gate Change
Flight AI814 to Bangalore is ready for departure,Departure
Departure announcement for flight AI604 to Bangalore,Departure
Flight AI652 departure gate has been changed,Gate Change
Flight AI925 scheduled for Dubai is delayed,Delay
Due to weather conditions flight AI687 has been delayed,Delay
Boarding started for flight AI275 at gate 16,Boarding
Boarding announcement for flight AI199,Boarding
Departure announcement for flight AI970 to Bangalore,Departure
Flight AI839 from Singapore has arrived,Arrival
Flight AI330 to Delhi is delayed by 56 minutes,Delay
Final boarding call for flight AI367,Boarding
Emergency evacuation required immediately,Emergency
Departure announcement for flight AI180 to Singapore,Departure
Flight AI396 to Kolkata is ready for departure,Departure
Airport emergency protocol has been activated,Emergency
Emergency evacuation required immediately,Emergency
Flight AI296 scheduled for Chennai is delayed,Delay
Passengers are requested to follow emergency procedures,Emergency
Security alert reported near terminal,Emergency
Passengers of flight AI479 please note the delay,Delay
Gate update for flight AI979,Gate Change
Passengers of flight AI437 please note the delay,Delay
Flight AI501 to Hyderabad is delayed by 95 minutes,Delay
Flight AI288 bound for Mumbai will depart shortly,Departure
Passengers are requested to follow emergency procedures,Emergency
Security alert reported near terminal,Emergency
Flight AI889 from Chennai has arrived,Arrival
Gate update for flight AI836,Gate Change
Flight AI987 scheduled for Dubai is delayed,Delay
Emergency evacuation required immediately,Emergency
Boarding announcement for flight AI716,Boarding
Flight AI327 to Dubai is delayed by 27 minutes,Delay
Security alert reported near terminal,Emergency
Emergency evacuation required immediately,Emergency
Arrival completed for flight AI295 from Dubai,Arrival
Emergency evacuation required immediately,Emergency
Flight AI556 from Pune has arrived,Arrival
Final boarding call for flight AI817,Boarding
Passengers for flight AI214 please proceed to gate 13,Gate Change
Passengers for flight AI520 to Chennai proceed to gate 14,Departure
Security alert reported near terminal,Emergency
Boarding announcement for flight AI787,Boarding
Gate changed from 10 to 13 for flight AI439,Gate Change
Passengers for flight AI538 to Bangalore proceed to gate 10,Departure
Passengers of flight AI942 please note the delay,Delay
Flight AI594 bound for Kolkata will depart shortly,Departure
Flight AI416 scheduled for Kolkata is delayed,Delay
Passengers are requested to follow emergency procedures,Emergency
Boarding announcement for flight AI210,Boarding
Gate update for flight AI378,Gate Change
Passengers may now board flight AI320,Boarding
Flight AI591 scheduled for Delhi is delayed,Delay
Flight AI946 to Chennai is ready for departure,Departure
Passengers may now board flight AI892,Boarding
Flight AI715 bound for Pune will depart shortly,Departure
Departure announcement for flight AI735 to Kolkata,Departure
Passengers for flight AI628 to Dubai proceed to gate 9,Departure
Flight AI930 from Hyderabad has arrived,Arrival
Flight AI888 has successfully landed from Mumbai,Arrival
Flight AI598 has successfully landed from Pune,Arrival
Due to weather conditions flight AI342 has been delayed,Delay
Emergency evacuation required immediately,Emergency
Passengers may now board flight AI635,Boarding
Flight AI689 departure gate has been changed,Gate Change
Gate update for flight AI231,Gate Change
Flight AI550 to Pune is delayed by 28 minutes,Delay
Emergency evacuation required immediately,Emergency
Flight AI965 has successfully landed from Singapore,Arrival
Due to weather conditions flight AI522 has been delayed,Delay
Arrival completed for flight AI980 from Dubai,Arrival
Passengers arriving on flight AI277 from Chennai may collect baggage,Arrival
Final boarding call for flight AI139,Boarding
Boarding started for flight AI450 at gate 18,Boarding
Passengers may now board flight AI742,Boarding
Flight AI949 to Hyderabad is ready for departure,Departure
Flight AI862 has successfully landed from Singapore,Arrival
Passengers of flight AI864 please note the delay,Delay
Flight AI470 bound for Kolkata will depart shortly,Departure
Flight AI967 to Delhi is ready for departure,Departure
Boarding started for flight AI181 at gate 4,Boarding
Boarding started for flight AI421 at gate 14,Boarding
Passengers for flight AI742 please proceed to gate 16,Gate Change
Passengers of flight AI212 please note the delay,Delay
Passengers are requested to follow emergency procedures,Emergency
Passengers arriving on flight AI248 from Bangalore may collect baggage,Arrival
Departure announcement for flight AI712 to Chennai,Departure
Passengers of flight AI378 please note the delay,Delay
Passengers may now board flight AI785,Boarding
Airport emergency protocol has been activated,Emergency
Passengers are requested to follow emergency procedures,Emergency
Emergency evacuation required immediately,Emergency
Flight AI640 scheduled for Chennai is delayed,Delay
Passengers may now board flight AI711,Boarding
Flight AI342 has successfully landed from Singapore,Arrival
Due to weather conditions flight AI270 has been delayed,Delay
Boarding announcement for flight AI636,Boarding
Security alert reported near terminal,Emergency
Flight AI218 to Chennai is ready for departure,Departure
Airport emergency protocol has been activated,Emergency
Airport emergency protocol has been activated,Emergency
Passengers for flight AI328 to Chennai proceed to gate 15,Departure
Flight AI822 departure gate has been changed,Gate Change
Airport emergency protocol has been activated,Emergency
Emergency evacuation required immediately,Emergency
Emergency evacuation required immediately,Emergency
Airport emergency protocol has been activated,Emergency
Flight AI241 has successfully landed from Pune,Arrival
Emergency evacuation required immediately,Emergency
Gate changed from 2 to 11 for flight AI283,Gate Change
Passengers may now board flight AI689,Boarding
Flight AI176 has successfully landed from Mumbai,Arrival
Passengers for flight AI251 to London proceed to gate 16,Departure
Passengers for flight AI596 please proceed to gate 13,Gate Change
Security alert reported near terminal,Emergency
Passengers of flight AI343 please note the delay,Delay
Gate update for flight AI186,Gate Change
Due to weather conditions flight AI878 has been delayed,Delay
Passengers may now board flight AI758,Boarding
Final boarding call for flight AI916,Boarding
Passengers for flight AI224 to Mumbai proceed to gate 11,Departure
Gate update for flight AI976,Gate Change
Security alert reported near terminal,Emergency
Passengers are requested to follow emergency procedures,Emergency
Departure announcement for flight AI938 to London,Departure
Flight AI600 scheduled for Pune is delayed,Delay
Flight AI464 has successfully landed from Dubai,Arrival
Passengers of flight AI939 please note the delay,Delay
Flight AI830 from London has arrived,Arrival
Emergency evacuation required immediately,Emergency
Flight AI430 to Delhi is ready for departure,Departure
Flight AI766 has successfully landed from Pune,Arrival
Final boarding call for flight AI180,Boarding
Flight AI282 bound for Singapore will depart shortly,Departure
Due to weather conditions flight AI606 has been delayed,Delay
Security alert reported near terminal,Emergency
Passengers arriving on flight AI109 from Pune may collect baggage,Arrival
Due to weather conditions flight AI447 has been delayed,Delay
Passengers for flight AI931 please proceed to gate 17,Gate Change
Passengers for flight AI797 to Dubai proceed to gate 6,Departure
Gate update for flight AI670,Gate Change
Passengers may now board flight AI977,Boarding
Flight AI876 from Singapore has arrived,Arrival
Flight AI485 departure gate has been changed,Gate Change
Flight AI744 from Mumbai has arrived,Arrival
Passengers for flight AI334 please proceed to gate 11,Gate Change
Due to weather conditions flight AI496 has been delayed,Delay
Security alert reported near terminal,Emergency
Boarding announcement for flight AI201,Boarding
Passengers may now board flight AI444,Boarding
Passengers for flight AI698 please proceed to gate 19,Gate Change
Passengers of flight AI702 please note the delay,Delay
Passengers of flight AI304 please note the delay,Delay
Airport emergency protocol has been activated,Emergency
Flight AI119 to Chennai is delayed by 74 minutes,Delay
Flight AI448 bound for Singapore will depart shortly,Departure
Due to weather conditions flight AI780 has been delayed,Delay
Arrival completed for flight AI594 from Singapore,Arrival
Flight AI557 from Mumbai has arrived,Arrival
Gate update for flight AI291,Gate Change
Due to weather conditions flight AI749 has been delayed,Delay
Boarding announcement for flight AI590,Boarding
Passengers for flight AI773 please proceed to gate 20,Gate Change
Passengers of flight AI836 please note the delay,Delay
Boarding announcement for flight AI179,Boarding
Flight AI982 to Bangalore is delayed by 62 minutes,Delay
Arrival completed for flight AI809 from Mumbai,Arrival
Flight AI379 to Chennai is delayed by 97 minutes,Delay
Boarding announcement for flight AI243,Boarding
Departure announcement for flight AI858 to Chennai,Departure
Security alert reported near terminal,Emergency
Passengers for flight AI278 to Singapore proceed to gate 17,Departure
Final boarding call for flight AI918,Boarding
Passengers for flight AI214 to Kolkata proceed to gate 15,Departure
Flight AI777 bound for Singapore will depart shortly,Departure
Flight AI996 has successfully landed from Singapore,Arrival
Flight AI577 to London is delayed by 84 minutes,Delay
Due to weather conditions flight AI507 has been delayed,Delay
Passengers of flight AI515 please note the delay,Delay
Passengers are requested to follow emergency procedures,Emergency
Passengers for flight AI424 to London proceed to gate 12,Departure
Emergency evacuation required immediately,Emergency
Arrival completed for flight AI333 from Delhi,Arrival
Departure announcement for flight AI296 to Bangalore,Departure
Emergency evacuation required immediately,Emergency
Flight AI807 to Pune is delayed by 107 minutes,Delay
Due to weather conditions flight AI108 has been delayed,Delay
Passengers may now board flight AI745,Boarding
Passengers for flight AI195 please proceed to gate 12,Gate Change
Due to weather conditions flight AI546 has been delayed,Delay
Passengers arriving on flight AI530 from Dubai may collect baggage,Arrival
Passengers may now board flight AI500,Boarding
Gate changed from 5 to 11 for flight AI525,Gate Change
Flight AI309 to Bangalore is delayed by 20 minutes,Delay
Flight AI803 bound for Bangalore will depart shortly,Departure
Flight AI931 bound for Kolkata will depart shortly,Departure
Flight AI856 departure gate has been changed,Gate Change
Passengers arriving on flight AI376 from Hyderabad may collect baggage,Arrival
Boarding announcement for flight AI898,Boarding
Passengers may now board flight AI598,Boarding
Emergency evacuation required immediately,Emergency
Passengers for flight AI672 to Bangalore proceed to gate 19,Departure
Flight AI157 from Bangalore has arrived,Arrival
Flight AI494 bound for Kolkata will depart shortly,Departure
Departure announcement for flight AI388 to Chennai,Departure
Passengers are requested to follow emergency procedures,Emergency
Due to weather conditions flight AI534 has been delayed,Delay
Due to weather conditions flight AI108 has been delayed,Delay
Flight AI589 to Singapore is delayed by 37 minutes,Delay
Security alert reported near terminal,Emergency
Flight AI358 departure gate has been changed,Gate Change
Passengers for flight AI947 to Delhi proceed to gate 3,Departure
Boarding announcement for flight AI511,Boarding
Flight AI425 to Pune is delayed by 89 minutes,Delay
Airport emergency protocol has been activated,Emergency
Airport emergency protocol has been activated,Emergency
Passengers are requested to follow emergency procedures,Emergency
Airport emergency protocol has been activated,Emergency
Passengers may now board flight AI993,Boarding
Passengers are requested to follow emergency procedures,Emergency
Flight AI666 has successfully landed from Mumbai,Arrival
Departure announcement for flight AI566 to Singapore,Departure
Security alert reported near terminal,Emergency
Passengers arriving on flight AI907 from Pune may collect baggage,Arrival
Airport emergency protocol has been activated,Emergency
Flight AI534 bound for Chennai will depart shortly,Departure
Flight AI590 scheduled for Chennai is delayed,Delay
Flight AI749 bound for Singapore will depart shortly,Departure
Final boarding call for flight AI732,Boarding
Flight AI314 to Kolkata is delayed by 10 minutes,Delay
Passengers are requested to follow emergency procedures,Emergency
Boarding announcement for flight AI651,Boarding
Passengers may now board flight AI237,Boarding
Flight AI500 has successfully landed from Hyderabad,Arrival
Passengers may now board flight AI460,Boarding
Flight AI309 from Hyderabad has arrived,Arrival
Due to weather conditions flight AI680 has been delayed,Delay
Flight AI710 has successfully landed from Hyderabad,Arrival
Departure announcement for flight AI539 to Chennai,Departure
Boarding started for flight AI519 at gate 6,Boarding
Departure announcement for flight AI792 to Pune,Departure
Arrival completed for flight AI414 from Hyderabad,Arrival
Boarding announcement for flight AI562,Boarding
Flight AI189 to Singapore is delayed by 31 minutes,Delay
Boarding announcement for flight AI187,Boarding
Gate update for flight AI715,Gate Change
Gate changed from 4 to 13 for flight AI322,Gate Change
Passengers for flight AI869 to Dubai proceed to gate 7,Departure
Passengers for flight AI698 please proceed to gate 16,Gate Change
Passengers arriving on flight AI208 from Delhi may collect baggage,Arrival
Passengers for flight AI958 to Delhi proceed to gate 5,Departure
Airport emergency protocol has been activated,Emergency
Passengers may now board flight AI455,Boarding
Passengers of flight AI434 please note the delay,Delay
Flight AI707 has successfully landed from Kolkata,Arrival
Flight AI175 bound for Pune will depart shortly,Departure
Flight AI201 to Mumbai is ready for departure,Departure
Flight AI676 to London is delayed by 17 minutes,Delay
Emergency evacuation required immediately,Emergency
Flight AI579 departure gate has been changed,Gate Change
Passengers for flight AI144 to Kolkata proceed to gate 17,Departure
Boarding started for flight AI166 at gate 15,Boarding
Flight AI542 bound for Chennai will depart shortly,Departure
Departure announcement for flight AI709 to Mumbai,Departure
Flight AI981 to Delhi is delayed by 105 minutes,Delay
Emergency evacuation required immediately,Emergency
Passengers are requested to follow emergency procedures,Emergency
Flight AI516 to Mumbai is ready for departure,Departure
Boarding started for flight AI388 at gate 6,Boarding
Departure announcement for flight AI334 to Mumbai,Departure
Flight AI332 scheduled for Bangalore is delayed,Delay
Boarding announcement for flight AI740,Boarding
Passengers arriving on flight AI262 from Mumbai may collect baggage,Arrival
Emergency evacuation required immediately,Emergency
Arrival completed for flight AI802 from Hyderabad,Arrival
Gate update for flight AI810,Gate Change
Gate changed from 6 to 16 for flight AI544,Gate Change
Boarding started for flight AI288 at gate 1,Boarding
Flight AI349 scheduled for Delhi is delayed,Delay
Passengers are requested to follow emergency procedures,Emergency
Flight AI434 departure gate has been changed,Gate Change
Departure announcement for flight AI306 to Dubai,Departure
Passengers for flight AI430 please proceed to gate 18,Gate Change
Due to weather conditions flight AI996 has been delayed,Delay
Flight AI271 from Kolkata has arrived,Arrival
Passengers may now board flight AI101,Boarding
Passengers for flight AI609 please proceed to gate 17,Gate Change
Flight AI593 scheduled for Dubai is delayed,Delay
Final boarding call for flight AI677,Boarding
Flight AI625 bound for Pune will depart shortly,Departure
Boarding started for flight AI749 at gate 2,Boarding
Gate update for flight AI875,Gate Change
Passengers are requested to follow emergency procedures,Emergency
Security alert reported near terminal,Emergency
Passengers may now board flight AI707,Boarding
Security alert reported near terminal,Emergency
Final boarding call for flight AI113,Boarding
Passengers arriving on flight AI439 from Kolkata may collect baggage,Arrival
Gate changed from 4 to 13 for flight AI956,Gate Change
Passengers of flight AI581 please note the delay,Delay
Passengers may now board flight AI327,Boarding
Emergency evacuation required immediately,Emergency
Boarding announcement for flight AI309,Boarding
Flight AI642 departure gate has been changed,Gate Change
Passengers arriving on flight AI533 from Kolkata may collect baggage,Arrival
Passengers may now board flight AI534,Boarding
Passengers for flight AI337 please proceed to gate 12,Gate Change
Boarding announcement for flight AI750,Boarding
Flight AI961 from Chennai has arrived,Arrival
Security alert reported near terminal,Emergency
Boarding announcement for flight AI833,Boarding
Passengers of flight AI838 please note the delay,Delay
Gate changed from 8 to 14 for flight AI210,Gate Change
Security alert reported near terminal,Emergency
Gate changed from 2 to 13 for flight AI861,Gate Change
Passengers are requested to follow emergency procedures,Emergency
Emergency evacuation required immediately,Emergency
Flight AI416 to Pune is delayed by 29 minutes,Delay
Boarding announcement for flight AI605,Boarding
Due to weather conditions flight AI654 has been delayed,Delay
Flight AI294 to Bangalore is delayed by 85 minutes,Delay
Flight AI804 departure gate has been changed,Gate Change
Gate update for flight AI576,Gate Change
Flight AI287 to Dubai is ready for departure,Departure
Flight AI770 departure gate has been changed,Gate Change
Departure announcement for flight AI455 to Chennai,Departure
Boarding started for flight AI522 at gate 3,Boarding
Flight AI848 to Mumbai is delayed by 79 minutes,Delay
Passengers of flight AI861 please note the delay,Delay
Security alert reported near terminal,Emergency
Flight AI196 to Mumbai is delayed by 32 minutes,Delay
Departure announcement for flight AI281 to Chennai,Departure
Due to weather conditions flight AI695 has been delayed,Delay
Passengers are requested to follow emergency procedures,Emergency
Boarding started for flight AI477 at gate 13,Boarding
Flight AI396 to Delhi is delayed by 89 minutes,Delay
Flight AI328 scheduled for Chennai is delayed,Delay
Flight AI489 from Mumbai has arrived,Arrival
Passengers for flight AI543 to Delhi proceed to gate 7,Departure
Security alert reported near terminal,Emergency
Flight AI272 to Hyderabad is ready for departure,Departure
Gate update for flight AI698,Gate Change
Due to weather conditions flight AI435 has been delayed,Delay
Airport emergency protocol has been activated,Emergency
Due to weather conditions flight AI100 has been delayed,Delay
Flight AI735 from Mumbai has arrived,Arrival
Passengers of flight AI977 please note the delay,Delay
Boarding started for flight AI113 at gate 14,Boarding
Emergency evacuation required immediately,Emergency
Flight AI464 has successfully landed from Chennai,Arrival
Flight AI501 scheduled for Singapore is delayed,Delay
Flight AI842 to Bangalore is delayed by 45 minutes,Delay
Departure announcement for flight AI670 to Delhi,Departure
Boarding announcement for flight AI104,Boarding
Arrival completed for flight AI586 from Bangalore,Arrival
Final boarding call for flight AI775,Boarding
Flight AI238 from Kolkata has arrived,Arrival
Flight AI972 has successfully landed from Hyderabad,Arrival
Passengers of flight AI580 please note the delay,Delay
Security alert reported near terminal,Emergency
Flight AI521 departure gate has been changed,Gate Change
Due to weather conditions flight AI518 has been delayed,Delay
Boarding started for flight AI392 at gate 10,Boarding
Departure announcement for flight AI516 to Chennai,Departure
Boarding announcement for flight AI770,Boarding
Flight AI999 to Singapore is delayed by 14 minutes,Delay
Flight AI292 from Singapore has arrived,Arrival
Boarding announcement for flight AI914,Boarding
Boarding announcement for flight AI131,Boarding
Boarding started for flight AI218 at gate 15,Boarding
Flight AI448 scheduled for Bangalore is delayed,Delay
Arrival completed for flight AI493 from Dubai,Arrival
Flight AI604 bound for Singapore will depart shortly,Departure
Flight AI676 to London is ready for departure,Departure
Passengers are requested to follow emergency procedures,Emergency
Final boarding call for flight AI831,Boarding
Passengers may now board flight AI837,Boarding
Passengers are requested to follow emergency procedures,Emergency
Boarding started for flight AI699 at gate 1,Boarding
Flight AI502 departure gate has been changed,Gate Change
Arrival completed for flight AI550 from Delhi,Arrival
Departure announcement for flight AI759 to Dubai,Departure
Final boarding call for flight AI176,Boarding
Final boarding call for flight AI887,Boarding
Gate update for flight AI929,Gate Change
Flight AI202 to Singapore is delayed by 45 minutes,Delay
Flight AI520 bound for Dubai will depart shortly,Departure
Flight AI752 to Chennai is delayed by 25 minutes,Delay
Passengers for flight AI958 to Hyderabad proceed to gate 13,Departure
Flight AI981 departure gate has been changed,Gate Change
Flight AI465 scheduled for Dubai is delayed,Delay
Flight AI292 to Dubai is delayed by 59 minutes,Delay
Departure announcement for flight AI157 to Singapore,Departure
Boarding announcement for flight AI867,Boarding
Passengers may now board flight AI491,Boarding
Flight AI851 has successfully landed from Mumbai,Arrival
Security alert reported near terminal,Emergency
Arrival completed for flight AI135 from Pune,Arrival
Final boarding call for flight AI592,Boarding
Final boarding call for flight AI755,Boarding
Final boarding call for flight AI654,Boarding
Emergency evacuation required immediately,Emergency
Flight AI568 to Bangalore is ready for departure,Departure
Arrival completed for flight AI447 from Kolkata,Arrival
Passengers for flight AI258 please proceed to gate 15,Gate Change
Flight AI641 scheduled for Bangalore is delayed,Delay
Boarding announcement for flight AI753,Boarding
Boarding started for flight AI397 at gate 18,Boarding
Passengers for flight AI483 please proceed to gate 13,Gate Change
Passengers for flight AI392 please proceed to gate 17,Gate Change
Gate changed from 5 to 15 for flight AI216,Gate Change
Passengers arriving on flight AI289 from Hyderabad may collect baggage,Arrival
Arrival completed for flight AI478 from Mumbai,Arrival
Due to weather conditions flight AI421 has been delayed,Delay
Passengers for flight AI296 please proceed to gate 20,Gate Change
Arrival completed for flight AI540 from Delhi,Arrival
Arrival completed for flight AI658 from Chennai,Arrival
Flight AI714 has successfully landed from Delhi,Arrival
Flight AI322 scheduled for Pune is delayed,Delay
Flight AI925 departure gate has been changed,Gate Change
Flight AI780 scheduled for Mumbai is delayed,Delay
Flight AI924 bound for Delhi will depart shortly,Departure
Passengers may now board flight AI558,Boarding
Airport emergency protocol has been activated,Emergency
Passengers may now board flight AI564,Boarding
Passengers are requested to follow emergency procedures,Emergency
Passengers are requested to follow emergency procedures,Emergency
Flight AI353 to Pune is delayed by 10 minutes,Delay
Flight AI646 to Delhi is ready for departure,Departure
Flight AI176 scheduled for Hyderabad is delayed,Delay
Gate update for flight AI733,Gate Change
Flight AI362 bound for Hyderabad will depart shortly,Departure
Due to weather conditions flight AI974 has been delayed,Delay
Flight AI394 from Dubai has arrived,Arrival
Gate changed from 7 to 13 for flight AI342,Gate Change
Passengers for flight AI965 to Dubai proceed to gate 6,Departure
Flight AI384 has successfully landed from Delhi,Arrival
Arrival completed for flight AI464 from Chennai,Arrival
Boarding announcement for flight AI362,Boarding
Passengers of flight AI495 please note the delay,Delay
Flight AI800 to Kolkata is ready for departure,Departure
Boarding started for flight AI184 at gate 19,Boarding
Flight AI366 from London has arrived,Arrival
Due to weather conditions flight AI303 has been delayed,Delay
Flight AI979 has successfully landed from Singapore,Arrival
Flight AI711 bound for Hyderabad will depart shortly,Departure
Security alert reported near terminal,Emergency
Flight AI425 scheduled for Mumbai is delayed,Delay
Due to weather conditions flight AI909 has been delayed,Delay
Final boarding call for flight AI949,Boarding
Flight AI685 to Mumbai is ready for departure,Departure
Flight AI848 from Pune has arrived,Arrival
Gate update for flight AI490,Gate Change
Passengers of flight AI667 please note the delay,Delay
Passengers are requested to follow emergency procedures,Emergency
Flight AI306 from London has arrived,Arrival
Flight AI610 departure gate has been changed,Gate Change
Passengers arriving on flight AI542 from Hyderabad may collect baggage,Arrival
Gate changed from 4 to 15 for flight AI949,Gate Change
Flight AI952 departure gate has been changed,Gate Change
Due to weather conditions flight AI911 has been delayed,Delay
Passengers are requested to follow emergency procedures,Emergency
Gate changed from 3 to 18 for flight AI646,Gate Change
Flight AI762 has successfully landed from Pune,Arrival
Passengers are requested to follow emergency procedures,Emergency
Flight AI440 from Chennai has arrived,Arrival
Passengers arriving on flight AI460 from Chennai may collect baggage,Arrival
Security alert reported near terminal,Emergency
Due to weather conditions flight AI962 has been delayed,Delay
Passengers are requested to follow emergency procedures,Emergency
Flight AI751 has successfully landed from London,Arrival
Flight AI704 to Bangalore is delayed by 83 minutes,Delay
Departure announcement for flight AI260 to Chennai,Departure
Passengers may now board flight AI586,Boarding
Passengers may now board flight AI397,Boarding
Due to weather conditions flight AI777 has been delayed,Delay
Passengers arriving on flight AI540 from Mumbai may collect baggage,Arrival
Flight AI467 departure gate has been changed,Gate Change
Flight AI983 bound for London will depart shortly,Departure
Gate changed from 7 to 14 for flight AI932,Gate Change
Gate update for flight AI520,Gate Change
Passengers are requested to follow emergency procedures,Emergency
Flight AI993 to Kolkata is delayed by 69 minutes,Delay
Flight AI476 from Dubai has arrived,Arrival
Passengers are requested to follow emergency procedures,Emergency
Flight AI308 scheduled for Bangalore is delayed,Delay
Flight AI790 has successfully landed from London,Arrival
Flight AI535 from Singapore has arrived,Arrival
Passengers for flight AI358 please proceed to gate 15,Gate Change
Airport emergency protocol has been activated,Emergency
Passengers arriving on flight AI371 from Pune may collect baggage,Arrival
Passengers of flight AI254 please note the delay,Delay
Passengers arriving on flight AI547 from Bangalore may collect baggage,Arrival
Passengers for flight AI931 please proceed to gate 15,Gate Change
Passengers may now board flight AI154,Boarding
Passengers for flight AI847 please proceed to gate 16,Gate Change
Flight AI244 from Chennai has arrived,Arrival
Gate update for flight AI904,Gate Change
Arrival completed for flight AI978 from Mumbai,Arrival
Flight AI147 from Kolkata has arrived,Arrival
Final boarding call for flight AI161,Boarding
Gate update for flight AI535,Gate Change
Flight AI580 has successfully landed from Chennai,Arrival
Flight AI537 to Mumbai is ready for departure,Departure
Airport emergency protocol has been activated,Emergency
Passengers arriving on flight AI939 from London may collect baggage,Arrival
Gate update for flight AI330,Gate Change
Departure announcement for flight AI147 to Mumbai,Departure
Flight AI625 to Kolkata is ready for departure,Departure
Due to weather conditions flight AI629 has been delayed,Delay
Passengers for flight AI151 to Bangalore proceed to gate 4,Departure
Flight AI732 to Mumbai is delayed by 26 minutes,Delay
Departure announcement for flight AI324 to Dubai,Departure
Passengers of flight AI911 please note the delay,Delay
Arrival completed for flight AI832 from Kolkata,Arrival
Passengers for flight AI920 please proceed to gate 13,Gate Change
Flight AI827 scheduled for Singapore is delayed,Delay
Security alert reported near terminal,Emergency
Airport emergency protocol has been activated,Emergency
Passengers may now board flight AI416,Boarding
Passengers of flight AI717 please note the delay,Delay
Passengers for flight AI377 please proceed to gate 19,Gate Change
Passengers arriving on flight AI243 from Mumbai may collect baggage,Arrival
Security alert reported near terminal,Emergency
Passengers for flight AI676 please proceed to gate 18,Gate Change
Flight AI171 scheduled for Delhi is delayed,Delay
Passengers of flight AI507 please note the delay,Delay
Flight AI768 has successfully landed from Chennai,Arrival
Passengers are requested to follow emergency procedures,Emergency
Flight AI401 scheduled for Pune is delayed,Delay
Flight AI439 bound for Chennai will depart shortly,Departure
Arrival completed for flight AI664 from Delhi,Arrival
Passengers for flight AI988 to London proceed to gate 18,Departure
Passengers may now board flight AI339,Boarding
Flight AI337 has successfully landed from Chennai,Arrival
Emergency evacuation required immediately,Emergency
Passengers are requested to follow emergency procedures,Emergency
Flight AI802 departure gate has been changed,Gate Change
Flight AI172 bound for London will depart shortly,Departure
Passengers may now board flight AI563,Boarding
Final boarding call for flight AI112,Boarding
Flight AI530 from Hyderabad has arrived,Arrival
Flight AI855 bound for Kolkata will depart shortly,Departure
Passengers may now board flight AI228,Boarding
Flight AI221 has successfully landed from Delhi,Arrival
Passengers for flight AI419 please proceed to gate 17,Gate Change
Flight AI553 to Kolkata is ready for departure,Departure
Airport emergency protocol has been activated,Emergency
Flight AI699 departure gate has been changed,Gate Change
Flight AI706 from Hyderabad has arrived,Arrival
Flight AI510 has successfully landed from Mumbai,Arrival
Flight AI184 scheduled for Dubai is delayed,Delay
Flight AI205 has successfully landed from Mumbai,Arrival
Flight AI470 from London has arrived,Arrival
Boarding started for flight AI121 at gate 2,Boarding
Boarding announcement for flight AI863,Boarding
